source_name	alternative_name	alternative_name2	c_ghz	c_jy	x_ghz	x_jy	k_ghz	k_jy	a0	a1	a2	a3	a4	a5	chi_square	frequency_range_ghz
J0133-3629	J0133-3629		6.856	2.153707345	8.448	1.726487488	12	1.167924504	1.044	-0.6619	-0.2252	0	0	0	267	0.2-4
J0137+3309	3C48	3C48	6.856	3.882654567	8.448	3.166456416	12	2.238076353	1.3253	-0.7553	-0.1914	0.0498	0	0	3.1	0.05-50
J0322-3712	Fomax A		6.856	46.25850827	8.448	40.29826702	12	31.95897698	2.2175	-0.6606	0	0	0	0	17	0.2-0.5
J0437+2940	3C123	3C123	6.856	11.48411733	8.448	9.312214013	12	6.476964693	1.8017	-0.7884	-0.1035	-0.0248	0.009	0	1.9	0.05-50
J0444-2809	J0444-2809		6.856	1.385210637	8.448	1.100687205	12	0.7404011081	0.971	-0.8938	-0.1176	0	0	0	3.3	0.2-2.0
J0521+1638	3C138	3C138	6.856	3.081776977	8.448	2.643734659	12	2.032057796	1.0088	-0.4981	-0.1552	-0.0102	0.0223	0	1.5	0.2-50
J0519-4546	Pictor A		6.856	18.27249879	8.448	15.21402526	12	11.11182243	1.938	-0.747	-0.0739	0	0	0	8.1	0.2-4.0
J0534+2200	Taurus A	3C144	6.856	498.2739141	8.448	452.8389118	12	377.8289042	2.9516	-0.2173	-0.0473	-0.0674	0	0	1.9	0.05-4.0
J0542+4951	3C147	3C147	6.856	5.699757988	8.448	4.68362297	12	3.360825743	1.4516	-0.6961	-0.2007	0.064	-0.0464	0.0289	2.2	0.05-50
J0813+4813	3C196	3C196	6.856	2.916994199	8.448	2.31118959	12	1.549279727	1.2872	-0.853	-0.1534	-0.02	0.0201	0	1.6	0.050-50
J0918-1205	Hydra A	3C218	6.856	9.11350257	8.448	7.368936042	12	5.171391911	1.7795	-0.9176	-0.0843	-0.0139	0.0295	0	3.5	0.050-12
J1230+1223	Virgo A	3C274	6.856	54.23536111	8.448	44.97415106	12	32.69525789	2.4466	-0.8116	-0.0483	0	0	0	2	0.05-3
J1331+3030	3C286	3C286	6.856	5.840689099	8.448	5.06293778	12	3.955320368	1.2481	-0.4507	-0.1798	0.0357	0	0	1.9	0.05-50
J1411+5212	3C295	3C295	6.856	4.31248293	8.448	3.337628636	12	2.139940411	1.4701	-0.7658	-0.278	-0.0347	0.0399	0	1.6	0.05-50
J1651+0459	Hercules A	3C348	6.856	8.064955453	8.448	6.287477877	12	4.103991556	1.8298	-1.0247	-0.0951	0	0	0	2.3	0.2-12
J1720-0058	3C353	3C353	6.856	14.79423411	8.448	11.90523824	12	8.048823448	1.8627	-0.6938	-0.0998	-0.0732	0	0	2.2	0.2-4
J1829+4844	3C380	3C380	6.856	3.486221997	8.448	2.622154592	12	1.376817434	1.232	-0.7909	0.0947	0.0976	-0.1794	-0.1566	2.9	0.05-50
J1959+4044	Cygnus A	3C405	6.856	244.8635035	8.448	189.4625758	12	123.8352517	3.3498	-1.0022	-0.2246	0.0227	0.0425	0	1.9	0.05-12
J2214-1701	3C444	3C444	6.856	1.47478973	8.448	1.120369034	12	0.6884291744	1.1064	-1.0052	-0.075	-0.0767	0	0	5.7	0.2-12
J2323+5848	Cassiopeia A	3C461	6.856	461.7258253	8.448	376.4853536	12	261.8490095	3.3584	-0.7518	-0.0347	-0.0705	0	0	2.1	0.2-50
